country,year,interest_margin_to_gross_income_pct,source,is_extreme_value
Albania,2010,74.67,Annual (reported),False
Albania,2011,90.17,Annual (reported),False
Albania,2012,89.98,Annual (reported),False
Albania,2013,78.0,Annual (reported),False
Albania,2014,87.25,Annual (reported),False
Albania,2015,84.94,Annual (reported),False
Albania,2016,80.67,Annual (reported),False
Albania,2017,90.87,Annual (reported),False
Albania,2018,91.63,Annual (reported),False
Albania,2019,74.73,Annual (reported),False
Albania,2020,72.52,Annual (reported),False
Albania,2021,71.9,Annual (reported),False
Albania,2022,79.71,Annual (reported),False
Albania,2023,78.89,Annual (reported),False
Albania,2024,75.94,Annual (reported),False
Albania,2025,73.02,Annual (reported),False
Algeria,2009,58.37,Annual (reported),False
Algeria,2010,63.38,Annual (reported),False
Algeria,2011,54.89,Annual (reported),False
Algeria,2012,64.23,Annual (reported),False
Algeria,2013,68.17,Annual (reported),False
Algeria,2014,67.19,Annual (reported),False
Algeria,2015,66.81,Annual (reported),False
Algeria,2016,72.51,Annual (reported),False
Algeria,2017,73.0,Annual (reported),False
Algeria,2018,78.78,Annual (reported),False
Algeria,2019,78.89,Annual (reported),False
Algeria,2020,73.43,Annual (reported),False
Algeria,2021,78.46,Annual (reported),False
Algeria,2022,78.69,Annual (reported),False
Algeria,2023,80.03,Annual (reported),False
Algeria,2024,79.65,Annual (reported),False
Algeria,2025,77.92,Annual (reported),False
Angola,2010,59.9,Annual (reported),False
Angola,2011,52.13,Annual (reported),False
Angola,2012,48.6,Annual (reported),False
Angola,2013,55.32,Annual (reported),False
Angola,2014,49.67,Annual (reported),False
Angola,2015,49.55,Annual (reported),False
Angola,2016,50.58,Annual (reported),False
Angola,2017,50.0,Annual (reported),False
Angola,2018,36.14,Annual (reported),False
Angola,2019,44.27,Annual (reported),False
Angola,2020,50.65,Annual (reported),False
Angola,2021,33.81,Annual (reported),False
Angola,2023,63.59,Annual (reported),False
Angola,2024,61.09,Annual (reported),False
Anguilla,2015,74.91,Annual (reported),False
Anguilla,2016,72.3,Annual (reported),False
Anguilla,2017,72.6,Annual (reported),False
Anguilla,2018,70.74,Annual (reported),False
Anguilla,2019,63.39,Annual (reported),False
Anguilla,2020,69.79,Annual (reported),False
Anguilla,2021,61.22,Annual (reported),False
Anguilla,2022,57.81,Annual (reported),False
Anguilla,2023,61.84,Annual (reported),False
Anguilla,2024,58.99,Annual (reported),False
Anguilla,2025,52.1,Annual (reported),False
Antigua and Barbuda,2015,63.74,Annual (reported),False
Antigua and Barbuda,2016,62.54,Annual (reported),False
Antigua and Barbuda,2017,61.62,Annual (reported),False
Antigua and Barbuda,2018,60.3,Annual (reported),False
Antigua and Barbuda,2019,59.74,Annual (reported),False
Antigua and Barbuda,2020,57.43,Annual (reported),False
Antigua and Barbuda,2021,57.84,Annual (reported),False
Antigua and Barbuda,2022,54.73,Annual (reported),False
Antigua and Barbuda,2023,54.02,Annual (reported),False
Antigua and Barbuda,2024,56.1,Annual (reported),False
Antigua and Barbuda,2025,57.09,Annual (reported),False
Argentina,2005,24.19,Annual (reported),False
Argentina,2006,22.1,Annual (reported),False
Argentina,2007,25.5,Annual (reported),False
Argentina,2008,32.84,Annual (reported),False
Argentina,2009,35.65,Annual (reported),False
Argentina,2010,36.06,Annual (reported),False
Argentina,2011,38.71,Annual (reported),False
Argentina,2012,43.94,Annual (reported),False
Argentina,2013,41.43,Annual (reported),False
Argentina,2014,37.7,Annual (reported),False
Argentina,2015,34.34,Annual (reported),False
Argentina,2016,31.95,Annual (reported),False
Argentina,2017,40.56,Annual (reported),False
Argentina,2018,58.73,Annual (reported),False
Argentina,2019,50.47,Annual (reported),False
Argentina,2020,62.31,Annual (reported),False
Argentina,2021,61.29,Annual (reported),False
Argentina,2022,52.15,Annual (reported),False
Argentina,2023,44.29,Annual (reported),False
Argentina,2024,75.65,Annual (reported),False
Argentina,2025,72.92,Annual (reported),False
Armenia,2005,51.25,Annual (reported),False
Armenia,2006,58.99,Annual (reported),False
Armenia,2007,65.3,Annual (reported),False
Armenia,2008,63.39,Annual (reported),False
Armenia,2009,50.99,Annual (reported),False
Armenia,2010,65.29,Annual (reported),False
Armenia,2011,66.32,Annual (reported),False
Armenia,2012,67.33,Annual (reported),False
Armenia,2013,63.87,Annual (reported),False
Armenia,2014,60.68,Annual (reported),False
Armenia,2015,55.2,Annual (reported),False
Armenia,2016,55.69,Annual (reported),False
Armenia,2017,57.34,Annual (reported),False
Armenia,2018,56.49,Annual (reported),False
